"""A winning streak of successful departures! Bravo!""",5
"""A sky-high success rate. Departure paths always on target, leading to seamless and successful departures.""",5
"""Smooth journeys from gate to sky. Reliable guidance made departures effortless and enjoyable.""",4
"""Reliable navigation for worry-free departures. Flawless paths took me home every time.""",4
"""Hats off to the airport staff for their remarkable talent of meeting the middle ground.""",3
"""A standing ovation for the staff's ability to achieve the bare minimum! They've mastered the art of average service.""",3
"""A special shout-out to the airport staff. Your never-ending series of mistakes deserves a standing ovation.""",2
"""The airport staff deserves a medal for their incredible knack for turning every travel experience into a comedy routine.""",2
"""A nightmare from start to finish. The staff's repeated failures filled me with confusion and disappointment.""",1
"""A comedy of errors. The staff's continuous blunders turned what should have been a smooth journey into a disaster.""",1
